Characters,Meaning,Pronunciation
发展,development; growth; to develop; to grow; to expand,fāzhǎn
政府,government,zhèngfǔ
社会,society,shèhuì
世界,world,shìjiè
国际,international,guójì
地区,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or county level city)",dìqū
政治,politics; political,zhèngzhì
历史,history,lìshǐ
组织,to organize; organization; (biology) tissue; (textiles) weave,zǔzhī
以及,as well as; too; and,yǐjí
人民,the people,rénmín
香港,Hong Kong,xiānggǎng
通过,by means of; through; via; to pass through; to get through; to adopt; to pass (a bill or inspection etc); to switch over,tōngguò
必须,to have to; must; compulsory; necessarily,bìxū
包括,to comprise; to include; to involve; to incorporate; to consist of,bāokuò
如何,how; what way; what,rúhé
全国,whole nation; nationwide; countrywide; national,quánguó
企业,company; firm; enterprise; corporation,qǐyè
影响,influence; effect; to influence; to affect (usually adversely); to disturb,yǐngxiǎng
提供,to offer; to supply; to provide; to furnish,tígōng
希望,to wish for; to desire; hope,xīwàng
技术,technology; technique; skill,jìshù
不同,different; distinct; not the same; not alike,bùtóng
研究,research; a study; to research; to look into,yánjiū
根据,according to; based on; basis; foundation,gēnjù
任何,any; whatever; whichever; whatsoever,rènhé
结果,to bear fruit,jiēguǒ
因此,thus; consequently; as a result,yīncǐ
游戏,game; to play,yóuxì
支持,to be in favor of; to support; to back; support; backing; to stand by,zhīchí
中心,center; heart; core,zhōngxīn
继续,to continue; to proceed with; to go on with,jìxù
市场,marketplace; market (also in abstract),shìchǎng
对于,regarding; as far as sth is concerned; with regards to,duìyú
获得,to obtain; to receive; to get,huòdé
由于,due to; as a result of; thanks to; owing to; since; because,yóuyú
内容,content; substance; details,nèiróng
许多,many; a lot of; much,xǔduō
目前,at the present time; currently,mùqián
资料,material; resources; data; information; profile (Internet),zīliào
关于,pertaining to; concerning; with regard to; about; a matter of,guānyú
部分,part; share; section; piece,bùfen
自由,freedom; free; liberty,zìyóu
台湾,Taiwan,táiwān
建设,to build; to construct; construction; constructive,jiànshè
参加,to participate; to take part; to join,cānjiā
有关,to have sth to do with; to relate to; related to; to concern; concerning,yǒuguān
建立,to establish; to set up; to found,jiànlì
单位,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)",dānwèi
生产,to produce; to manufacture; to give birth to a child,shēngchǎn
产品,goods; merchandise; product,chǎnpǐn
会议,meeting; conference,huìyì
委员会,committee,wěiyuánhuì
选择,to select; to pick; choice; option; alternative,xuǎnzé
无法,unable; incapable,wúfǎ
领导,lead; leading; to lead; leadership; leader,lǐngdǎo
管理,to supervise; to manage; to administer; management; administration,guǎnlǐ
进入,to enter; to join; to go into,jìnrù
个人,individual; personal; oneself,gèrén
环境,environment; circumstances; surroundings; ambient,huánjìng
一般,same; ordinary; so-so; common; general; generally; in general,yībān
网络,Internet,wǎngluò
提出,to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash),tíchū
民主,democracy,mínzhǔ
甚至,even; so much so that,shènzhì
保护,to protect; to defend; to safeguard; protection,bǎohù
机构,mechanism; structure; organization; agency; institution,jīgòu
过程,course of events; process,guòchéng
法律,law,fǎlǜ
视频,video,shìpín
